Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Apricot jam,242.0,64.0,0.0,0.2,0.3,0.7,0.01,0.04,43.0
Sucralose,336.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
Creamsicle,49.0,12.0,0.0,2.3,7.5,1.4,2.0,0.006,0.43
Chocolate,546.0,61.0,0.008,31.0,7.0,4.9,19.0,0.024,48.0
Sugar substitute,347.0,85.0,,0.0,0.6,2.1,,0.572,4.0
Agave nectar,310.0,76.0,0.0,0.45,0.2,0.09,0.0,0.004,68.0
Stevia,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payday,490.0,53.0,0.0,25.0,3.8,13.0,4.8,0.231,40.0
Macaroon,460.0,61.0,0.0,23.0,5.1,3.0,20.0,0.241,45.0
Grenadine,268.0,67.0,0.0,0.0,0.0,0.0,0.0,0.027,47.0
Frozen yogurt,127.0,22.0,0.013,3.6,0.0,3.0,2.3,0.063,20.0
Nougat,398.0,92.0,0.0,1.7,3.3,3.3,1.7,0.033,45.0
Heart of palm,115.0,26.0,0.0,0.2,1.5,2.7,0.05,0.014,17.0
Tabletop Sweeteners,279.0,76.0,0.0,0.0,0.1,0.0,0.0,0.002,76.0
Lard,902.0,0.0,0.095,100.0,0.0,0.0,39.0,0.0,0.0
Russian dressing,355.0,32.0,0.0,26.0,0.7,0.69,2.4,1.133,18.0
Thousand island,379.0,15.0,0.026,35.0,0.8,1.1,5.1,0.962,15.0
French dressing,222.0,31.0,0.0,12.0,1.5,0.58,0.84,0.838,17.0
Italian dressing,102.0,10.0,0.0,6.7,0.0,0.39,0.83,0.891,9.2
Soybean oil,884.0,0.0,0.0,100.0,0.0,0.0,15.0,0.0,0.0
Rice bran oil,884.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0
Wheat germ oil,884.0,0.0,0.0,100.0,0.0,0.0,19.0,0.0,0.0
Peanut oil,884.0,0.0,0.0,100.0,0.0,0.0,17.0,0.0,0.0
Coconut oil,892.0,0.0,0.0,99.0,0.0,0.0,82.0,0.0,0.0
